Account_ID,Account_Name,Account_Name_English,Account_Code,Account_Group,Account_Group_Code,Account_Status,Customer_Class,Sales_Area,Phone,Phone_1,Office_Phone,Factory_Phone,Website,Facebook,Billing_City,Billing_Province,Billing_Country,Shipping_City,Shipping_Province,Shipping_Country,Thai_Tax_ID,Register_Capital,Created_Time,Modified_Time,Last_Activity_Time,Owner,Tags,Industry,Org_Type,TSIC_ID,Billing_Street,Vol_FIBC_Per_Years,FIBC_Sling_Usage_Year
3015191000040536000,เพ็ท โฟกัส,,,,,New Accounts,,Key Account,02-8838000,,,,,,,,,,,,0105547071616,,20221117T13:59:24+07:00,20240722T16:59:01+07:00,20251215T09:44:55+07:00,ศิริษา ศรีสุข,ศิริษา,,บริษัทจำกัด,,สำนักงานใหญ่ เบทาโกรทาวเวอร์ (นอร์ธปาร์ค) 323 หมู่ 6 ถนนวิภาวดีรังสิต แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพ 10210,,
3015191000030548000,เบทาโกรภาคเหนือ เกษตรอุตสาหกรรม,,,,,New Accounts,,Key Account,"0-5320-3200, 0-5328-4699",,053203200,,,,,เชียงใหม่,,,,,0505536004161,,20220117T11:50:23+07:00,20240722T16:59:22+07:00,20240722T16:59:22+07:00,ศิริษา ศรีสุข,ศิริษา,1.1.1.1 โรงงานอาหารสัตว์ Feedmill Company,บริษัทจำกัด,,105/1 ถนนวัวลาย ต.หายยา อ.เมืองเชียงใหม่ จ.เชียงใหม,,
3015191000030360000,Yara Myanmar,,,,,New Accounts,,Key Account,,,,,,,Myanmar,,,,,,,,20220111T09:37:10+07:00,20250426T09:48:28+07:00,20251215T09:44:58+07:00,ปุณยวีร์ สพัดรัมย์,mook  ไม่มีข้อมูล,2.1.1 ปุ๋ยเคมี,บริษัทจำกัด,,"19 13, Sule Square,221,Sule Pagoda Road, Kyauktada Township Yangon, Myanmar",,
3015191000023036000,กรุงไทยอาหาร,,,,,New Accounts,,Key Account,0-2473-8000,,024738000,081545110220,,,,กรุงเทพมหานคร,,,สมุทรปราการ,,0107537001463,,20180212T01:18:36+07:00,20250426T09:48:28+07:00,20251215T09:44:58+07:00,ปุณยวีร์ สพัดรัมย์,ไม่เปิดรับ,1.1.1.1 โรงงานอาหารสัตว์ Feedmill Company,บริษัทมหาชนจำกัด,,อาคารจีเอฟพีที 312 ถนนพระรามที่ 2 บางมด เขตจอมทอง,,
3015191000016748000,ปูนซิเมนต์ไทย (ทุ่งสง),,0009AJ,0009SCGCBM,,NonActive,,Key Account,0-7553-8222,,,,,,,,,,,,0105541068613,,20201209T14:04:33+07:00,20250519T13:43:40+07:00,20250519T14:50:18+07:00,ปุณยวีร์ สพัดรัมย์,,2.2.1.1 Cement,บริษัทจำกัด,,,,
3015191000016213000,เพ็ทฟอร์ม (ไทยแลนด์),,,,,New Accounts,,Key Account,,,036489163,,,,,ลพบุรี,,,,,16553900030,,20201124T16:49:37+07:00,20251216T17:45:40+07:00,20251216T17:45:41+07:00,วิไลวรรณ ทองอยู่,FSE,2.3.2 Plastic Compound Resin,บริษัทจำกัด,,85 หมู่ที่ 11 ถนนบางงาท่าโขลง ต.เขาสมอคอน อ.ท่าวุ้ง,,
3015191000007553000,ปูนซีเมนต์ไทย (ท่าหลวง),,0009AF,,09,Active,,Key Account,0 2737 6268-9,,,,,,,,,,,,0105541068630,,20190909T14:39:03+07:00,20250519T13:43:40+07:00,20250519T13:43:41+07:00,ปุณยวีร์ สพัดรัมย์,,2.2.1.1 Cement,บริษัทจำกัด,,,,
3015191000007538000,รวมเกษตรกรอุตสาหกรรม (ภูเวียง),,0008AL,0008น้ำตาลมิตรผล,08,Active,,Key Account,0-4488-1111,,,,,,โคกสะอาด,,,,,,0715520000011,,20190907T16:06:01+07:00,20250606T19:15:12+07:00,20251215T09:45:01+07:00,ปุณยวีร์ สพัดรัมย์,รอ Verify,1.2.4.1 โรงงานน้ำตาล,บริษัทจำกัด,,99 หมู่ 10 ถนนชุมแพ,,
3015191000007538000,ยูไนเต็ด แสตนดาร์ด เทอร์มินัล,United Standard Terminal,0008AE,0008น้ำตาลมิตรผล,08,Active,,Key Account,,,027941000,,http://www.ust.co.th/,,,สมุทรปราการ,,,สมุทรปราการ,,0107537000530,,20190907T16:04:40+07:00,20250426T09:48:28+07:00,20251215T09:45:01+07:00,ปุณยวีร์ สพัดรัมย์,"น้ำตาลมิตรผล, FIBC",2.7 Non Food อื่นๆ,บริษัทมหาชนจำกัด,,,,
3015191000007538000,น้ำตาลสิงห์บุรี,,0008AB,0008น้ำตาลมิตรผล,08,Active,,Key Account,,,,,https://www.mitrphol.com/,,,สิงห์บุรี,,,,,0105516007860,,20190907T15:57:48+07:00,20250426T09:48:28+07:00,20251215T09:44:58+07:00,ปุณยวีร์ สพัดรัมย์,รอ Verify,1.2.4.1 โรงงานน้ำตาล,บริษัทจำกัด,,,,
