Account_ID,Account_Name,Account_Name_English,Account_Code,Account_Group,Account_Group_Code,Account_Status,Customer_Class,Sales_Area,Phone,Phone_1,Office_Phone,Factory_Phone,Website,Facebook,Billing_City,Billing_Province,Billing_Country,Shipping_City,Shipping_Province,Shipping_Country,Thai_Tax_ID,Register_Capital,Created_Time,Modified_Time,Last_Activity_Time,Owner,Tags,Industry,Org_Type,TSIC_ID,Billing_Street,Vol_FIBC_Per_Years,FIBC_Sling_Usage_Year
3015191000021222000,เก๋าไซร์ ไอซ์ หนองบัวลำภู,,0522AE,,,NonActive,,QCentral,0-,,0982651245,042375173,,,โนนสัง,หนองบัวลำภู,ไทย,,,,0393562000607,1000000,20210506T17:02:20+07:00,20250602T13:29:18+07:00,20250602T13:29:29+07:00,วีรวรรณ รอบแคว้น,PPW 010k,1.2.2.1 โรงน้ำแข็ง,ห้างหุ้นส่วนจำกัด,,178 หมู่ที่ 7 ต.หนองสัง,,
3015191000013408000,นำโชค 888,,0524AA,,,Active,,QNorth,0-,,0898967577,,,,,ลพบุรี,,,,,0195561000259,,20200831T16:35:46+07:00,20250513T15:27:06+07:00,20251215T16:25:57+07:00,วีรวรรณ รอบแคว้น,PPW 20k50k,1.1.1.1 โรงงานอาหารสัตว์ Feedmill Company,บริษัทจำกัด,10802,999/6 หมู่ที่ 9 ต.พัฒนานิคม อ.พัฒนานิคม จ.ลพบุรี,,
3015191000013705000,โรงน้ำแข็งชลสิทธิ์,,,,,Active,,QNorth,0920648999,0911982464,0920648999,0944504419,,,อ.วิเชียรบุรี,เพชรบูรณ์,,,,,0673561000767,,20200910T13:19:23+07:00,20240808T09:35:33+07:00,20251117T10:25:16+07:00,สุนิษา ภิญโญ,PPW 010k,1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,87 ม.17 ต.ท่าโรง,,
3015191000052852000,ราชสาส์น ไรซ์ อินเตอร์เทรด,,,,,New Accounts,,QEast,0921212820,,,,,,,ฉะเชิงเทรา,,,,,0245553001810,50000000,20231012T08:40:01+07:00,20240722T17:06:05+07:00,20250519T11:33:53+07:00,สุนิสา กล้าแข็ง,,1.2.1.2 ข้าวส่งออก,บริษัทจำกัด,10611,28 หมู่ที่ 10 ตำบลดงน้อย อำเภอราชสาส์น,,
3015191000033735000,เจียไต๋,,,,,New Accounts,,QNorth,02-4918191,,035 367 708,,,,,กรุงเทพมหานคร,,,พระนครศรีอยุธยา,,0105526049913,,20220427T14:48:20+07:00,20250421T17:06:17+07:00,20251215T16:23:38+07:00,วีรวรรณ รอบแคว้น,,2.1.1 ปุ๋ยเคมี,บริษัทจำกัด,,1 ซอยสุขุมวิท 60 แขวงพระโขนงใต้ เขตพระโขนง กรุงเทพมหานคร,,
3015191000019436000,เก้ากิรติ,,0531AA,,,Active,,QNorth,053-016-251,,0813532560,,,,,ลพบุรี,,,,,0163555000755,,20210302T13:37:54+07:00,20250613T15:12:04+07:00,20251225T13:33:44+07:00,สุนิษา ภิญโญ,PPW 10k20k,1.2.2.1 โรงน้ำแข็ง,ห้างหุ้นส่วนจำกัด,10795,6/6 หมู่ที่ 6 ต.ป่าตาล อ.เมืองลพบุรี,,
3015191000024868000,แสงทอง อาหารสัตว์,,0580AA,,,NonActive,,QCentral,0-2152-7322,,0923807772,,https://www.akaragroup.co.th/stf,,,นครนายก,,,นครนายก,,0265557000095,400000000,20210817T13:41:27+07:00,20240722T12:54:03+07:00,20251215T16:24:12+07:00,วีรวรรณ รอบแคว้น,PPW 20k50k,1.1.1.1 โรงงานอาหารสัตว์ Feedmill Company,บริษัทจำกัด,10802,211 หมู่ 10 ต.ป่าขะ อ.บ้านนา จ.นครนายก 26110,,
3015191000071405000,ส.สักเกษตร ท่าชนะ,,,,,,,QSouth,07738166,,077 381 004,,,,,สุราษฎร์ธานี,,,,,0843554001433,1000000,20241113T09:31:49+07:00,20250520T14:57:37+07:00,20251119T14:39:13+07:00,กมลรัตน์ เทศนีย์,,2.1.3 เคมีการเกษตร,ห้างหุ้นส่วนจำกัด,46692,201/1 หมู่ที่ 1 ตำบลสมอทอง อำเภอท่าชนะ จังหวัดสุราษฎร์ธานี,,
3015191000079519000,สวรรคโลกเสริมวัฒนา,,,,,,,QNorth,0924155654,,,,,,,สุโขทัย,,,,,0645504000020,10000000,20250425T13:12:23+07:00,20251119T14:44:51+07:00,20251119T14:46:19+07:00,สุนิษา ภิญโญ,,1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,,14 ถนนจรดวิถีถ่อง ต.ในเมือง อ.สวรรคโลก,,
3015191000056209400,พี.เอส.ซี. สตาร์ช (จันทบุรี),,,,,New Accounts,,QEast,038-219730,,,,,,,ชลบุรี,,,,,0205561036694,5000000,20240104T14:15:53+07:00,20240722T17:02:51+07:00,20251029T09:51:09+07:00,สุนิสา กล้าแข็ง,,1.2.3.1 โรงงานแป้งมัน,บริษัทจำกัด,10622,999 หมู่ที่ 5 ต.หนองใหญ่ อ.หนองใหญ่,,
3015191000049421300,ไทยเกษตรผลสุพรรณบุรี,,,,,New Accounts,,QWest,0924643686,,035531322,,,,,สุพรรณบุรี,,,,,0723531000296,500000,20230716T18:55:09+07:00,20240925T13:52:38+07:00,20251215T09:44:57+07:00,ชินดนัย ศรีธรรม,ก้อง,1.2.1.1 ข้าวตรา,บริษัทจำกัด,10611,9 หมู่ที่ 2 ตำบลศรีสำราญ อำเภอสองพี่น้อง,,
3015191000029645300,บิลเลี่ยน เอ็นเตอร์ไพรส์,,,,,New Accounts,,QEast,0 2848 4971-4,,028484949,,,,,สมุทรปราการ,,,สมุทรปราการ,,0115542001431,31000000,20211221T15:03:19+07:00,20250402T15:38:01+07:00,20251215T09:44:58+07:00,สุนิสา กล้าแข็ง,,2.3.2 Plastic Compound Resin,บริษัทจำกัด,,408 หมู่ที่ 2 ต.บ้านคลองสวน อ.พระสมุทรเจดีย์,,
3015191000029349400,เอ.ซี.พลาส,,,,,New Accounts,,QEast,0925969914,0925969914,,,,,,ฉะเชิงเทรา,,,,,0105555110731,5000000,20211213T14:19:02+07:00,20250108T13:59:12+07:00,20251009T12:59:49+07:00,สุนิสา กล้าแข็ง,,2.3.2 Plastic Compound Resin,บริษัทจำกัด,20131,36/5 หมู่ที่ 20 ต.ศาลาแดง อ.บางน้ำเปรี้ยว,,
3015191000016215000,สุวรรณธัญญกิจ (2002),,,,,New Accounts,,QNorth,0926352322,092 483 1443,036510272,,,,,สิงห์บุรี,,,,,0175561000224,,20201124T15:10:25+07:00,20240722T17:06:54+07:00,20251215T09:44:59+07:00,สุนิษา ภิญโญ,,1.2.1.1 ข้าวตรา,บริษัทจำกัด,52109,34/4 หมู่ที่ 10 ต.ไม้ดัด อ.บางระจัน,,
3015191000045537000,ซูเปอร์เซฟ​ เคมีคอล,,,,,New Accounts,,QNorth,0926621399,,0927075825,,,,,ลพบุรี,,,,,,,20230324T09:22:51+07:00,20240722T16:59:01+07:00,20250424T14:23:49+07:00,สุนิษา ภิญโญ,เลิกกิจการ,2.1.1 ปุ๋ยเคมี,ห้างหุ้นส่วนจำกัด,,144 หมู่ที่ 4 ตำบลมะนาวหวาน อำเภอพัฒนานิคม,,
3015191000030696000,วารีเทพบ้านโคก,,,,,New Accounts,,QEast,0927161112,,,,,,,ปราจีนบุรี,,,,,0255559001447,5000000,20220120T09:34:19+07:00,20250319T11:40:31+07:00,20251006T13:38:12+07:00,สุนิสา กล้าแข็ง,,1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,1199 หมู่ที่ 9 ต.หนองกี่ อ.กบินทร์บุรี จ.ปราจีนบุรี,,
3015191000015311400,ชัยยุทธน้ำแข็งหลอด,,,,,New Accounts,,QCentral,0927209417,062 563 2933,025268914,,,,เมืองนนทบุรี,นนทบุรี,,,,,0123537002393,,20201030T13:27:04+07:00,20241223T17:17:16+07:00,20251030T14:55:03+07:00,วีรวรรณ รอบแคว้น,PPW 010k,1.2.2.1 โรงน้ำแข็ง,ห้างหุ้นส่วนจำกัด,10795,155 ซอยนนทบุรี 6 ต.ตลาดขวัญ,,
