Account_ID,Account_Name,Account_Name_English,Account_Code,Account_Group,Account_Group_Code,Account_Status,Customer_Class,Sales_Area,Phone,Phone_1,Office_Phone,Factory_Phone,Website,Facebook,Billing_City,Billing_Province,Billing_Country,Shipping_City,Shipping_Province,Shipping_Country,Thai_Tax_ID,Register_Capital,Created_Time,Modified_Time,Last_Activity_Time,Owner,Tags,Industry,Org_Type,TSIC_ID,Billing_Street,Vol_FIBC_Per_Years,FIBC_Sling_Usage_Year
3015191000030548031,เบทาโกรภาคเหนือ เกษตรอุตสาหกรรม,,,,,New Accounts,,Key Account,,,053203200,,,,,เชียงใหม่,,,,,0505536004161,,20220117T11:50:23+07:00,20240722T16:59:22+07:00,20240722T16:59:22+07:00,ศิริษา ศรีสุข,ศิริษา,1.1.1.1 โรงงานอาหารสัตว์ Feedmill Company,บริษัทจำกัด,,105/1 ถนนวัวลาย ต.หายยา อ.เมืองเชียงใหม่ จ.เชียงใหม,,
3015191000030360006,Yara Myanmar,,,,,New Accounts,,Key Account,,,,,,,Myanmar,,,,,,,,20220111T09:37:10+07:00,20250426T09:48:28+07:00,20251215T09:44:58+07:00,ปุณยวีร์ สพัดรัมย์,mook  ไม่มีข้อมูล,2.1.1 ปุ๋ยเคมี,บริษัทจำกัด,,"19 13, Sule Square,221,Sule Pagoda Road, Kyauktada Township Yangon, Myanmar",,
3015191000023036060,กรุงไทยอาหาร,,,,,New Accounts,,Key Account,,,024738000,81545110220,,,,กรุงเทพมหานคร,,,สมุทรปราการ,,0107537001463,,20180212T01:18:36+07:00,20250426T09:48:28+07:00,20251215T09:44:58+07:00,ปุณยวีร์ สพัดรัมย์,ไม่เปิดรับ,1.1.1.1 โรงงานอาหารสัตว์ Feedmill Company,บริษัทมหาชนจำกัด,,อาคารจีเอฟพีที 312 ถนนพระรามที่ 2 บางมด เขตจอมทอง,,
3015191000016748006,ปูนซิเมนต์ไทย (ทุ่งสง),,0009AJ,0009SCGCBM,,NonActive,,Key Account,,,,,,,,,,,,,0105541068613,,20201209T14:04:33+07:00,20250519T13:43:40+07:00,20250519T14:50:18+07:00,ปุณยวีร์ สพัดรัมย์,,2.2.1.1 Cement,บริษัทจำกัด,,,,
3015191000016213037,เพ็ทฟอร์ม (ไทยแลนด์),,,,,New Accounts,,Key Account,,,036489163,,,,,ลพบุรี,,,,,016553900030,,20201124T16:49:37+07:00,20251216T17:45:40+07:00,20251216T17:45:41+07:00,วิไลวรรณ ทองอยู่,FSE,2.3.2 Plastic Compound Resin,บริษัทจำกัด,,85 หมู่ที่ 11 ถนนบางงาท่าโขลง ต.เขาสมอคอน อ.ท่าวุ้ง,,
3015191000007553091,ปูนซีเมนต์ไทย (ท่าหลวง),,0009AF,,0009,Active,,Key Account,,,,,,,,,,,,,0105541068630,,20190909T14:39:03+07:00,20250519T13:43:40+07:00,20250519T13:43:41+07:00,ปุณยวีร์ สพัดรัมย์,,2.2.1.1 Cement,บริษัทจำกัด,,,,
3015191000007538247,รวมเกษตรกรอุตสาหกรรม (ภูเวียง),,0008AL,0008น้ำตาลมิตรผล,0008,Active,,Key Account,,,,,,,โคกสะอาด,,,,,,715520000011,,20190907T16:06:01+07:00,20250606T19:15:12+07:00,20251215T09:45:01+07:00,ปุณยวีร์ สพัดรัมย์,รอ Verify,1.2.4.1 โรงงานน้ำตาล,บริษัทจำกัด,,99 หมู่ 10 ถนนชุมแพ,,
3015191000007538221,ยูไนเต็ด แสตนดาร์ด เทอร์มินัล,United Standard Terminal,0008AE,0008น้ำตาลมิตรผล,0008,Active,,Key Account,,,027941000,,http://www.ust.co.th/,,,สมุทรปราการ,,,สมุทรปราการ,,0107537000530,,20190907T16:04:40+07:00,20250426T09:48:28+07:00,20251215T09:45:01+07:00,ปุณยวีร์ สพัดรัมย์,"น้ำตาลมิตรผล, FIBC",2.7 Non Food อื่นๆ,บริษัทมหาชนจำกัด,,,,
3015191000007538175,น้ำตาลสิงห์บุรี,,0008AB,0008น้ำตาลมิตรผล,0008,Active,,Key Account,,,,,https://www.mitrphol.com/,,,สิงห์บุรี,,,,,0105516007860,,20190907T15:57:48+07:00,20250426T09:48:28+07:00,20251215T09:44:58+07:00,ปุณยวีร์ สพัดรัมย์,รอ Verify,1.2.4.1 โรงงานน้ำตาล,บริษัทจำกัด,,,,
3015191000007511010,ควอลิตี้ เฟล็คแพ็ค,,0000AA,,0000,Active,,Key Account,,,,,,,,,,,,,0105550100028,,20190906T11:28:02+07:00,20241127T10:28:41+07:00,20251226T08:53:50+07:00,ศิริษา ศรีสุข,,,บริษัทจำกัด,,,,
